"","Diversity","Year","Country","Index","Measurement"
"1",1.14156544749629,2009,"Afghanistan","Shannon","Calories"
"2",2.13591876424839,2009,"Albania","Shannon","Calories"
"3",2.01315686808495,2009,"Algeria","Shannon","Calories"
"4",2.50939181843078,2009,"Angola","Shannon","Calories"
"5",2.40521019289423,2009,"Antigua and Barbuda","Shannon","Calories"
"6",2.14270147152797,2009,"Argentina","Shannon","Calories"
"7",1.9870297961703,2009,"Armenia","Shannon","Calories"
"8",2.64598462020616,2009,"Australia","Shannon","Calories"
"9",2.73422360222691,2009,"Austria","Shannon","Calories"
"10",1.52972178293744,2009,"Azerbaijan","Shannon","Calories"
"11",2.74323770128048,2009,"Bahamas","Shannon","Calories"
"12",1.22719445235305,2009,"Bangladesh","Shannon","Calories"
"13",2.55728457115464,2009,"Barbados","Shannon","Calories"
"14",2.5592989387686,2009,"Belarus","Shannon","Calories"
"15",2.4801466570274,2009,"Belgium","Shannon","Calories"
"16",2.5415657220847,2009,"Belize","Shannon","Calories"
"17",2.46847946912068,2009,"Benin","Shannon","Calories"
"18",2.56928965307052,2009,"Bermuda","Shannon","Calories"
"19",2.3714658269005,2009,"Bolivia (Plurinational State of)","Shannon","Calories"
"20",2.37484302426716,2009,"Bosnia and Herzegovina","Shannon","Calories"
"21",2.62821782778649,2009,"Botswana","Shannon","Calories"
"22",2.537700017541,2009,"Brazil","Shannon","Calories"
"23",2.33902436423302,2009,"Brunei Darussalam","Shannon","Calories"
"24",2.15233584367413,2009,"Bulgaria","Shannon","Calories"
"25",2.2896377060763,2009,"Burkina Faso","Shannon","Calories"
"26",2.53926565139967,2009,"Cabo Verde","Shannon","Calories"
"27",1.39493284050577,2009,"Cambodia","Shannon","Calories"
"28",2.85872034948366,2009,"Cameroon","Shannon","Calories"
"29",2.68190533596789,2009,"Canada","Shannon","Calories"
"30",2.51959789760191,2009,"Central African Republic","Shannon","Calories"
"31",2.45024460894366,2009,"Chad","Shannon","Calories"
"32",2.19369603981222,2009,"Chile","Shannon","Calories"
"33",2.50958303061322,2009,"China, Hong Kong SAR","Shannon","Calories"
"34",2.58593400021688,2009,"China, Macao SAR","Shannon","Calories"
"35",2.27817759471488,2009,"China, mainland","Shannon","Calories"
"36",2.45048427468322,2009,"China, Taiwan Province of","Shannon","Calories"
"37",2.57816298360723,2009,"Colombia","Shannon","Calories"
"38",2.16111621249045,2009,"Congo","Shannon","Calories"
"39",2.45963262164523,2009,"Costa Rica","Shannon","Calories"
"40",2.51424098370815,2009,"Croatia","Shannon","Calories"
"41",2.47500898145998,2009,"Cuba","Shannon","Calories"
"42",2.67645158056718,2009,"Cyprus","Shannon","Calories"
"43",2.38546272915483,2009,"Czech Republic","Shannon","Calories"
"44",2.08559653503433,2009,"Democratic People's Republic of Korea","Shannon","Calories"
"45",2.66935704891984,2009,"Denmark","Shannon","Calories"
"46",2.0074391199962,2009,"Djibouti","Shannon","Calories"
"47",2.70271287689947,2009,"Dominica","Shannon","Calories"
"48",2.54100862235814,2009,"Dominican Republic","Shannon","Calories"
"49",2.31375755350069,2009,"Ecuador","Shannon","Calories"
"50",2.16313398993322,2009,"Egypt","Shannon","Calories"
"51",2.35115646367619,2009,"El Salvador","Shannon","Calories"
"52",2.4269286974077,2009,"Estonia","Shannon","Calories"
"53",2.43138373572458,2009,"Ethiopia","Shannon","Calories"
"54",2.26992055594229,2009,"Fiji","Shannon","Calories"
"55",2.47532044862643,2009,"Finland","Shannon","Calories"
"56",2.57895942577704,2009,"France","Shannon","Calories"
"57",2.55841855626651,2009,"French Polynesia","Shannon","Calories"
"58",2.48186836320005,2009,"Gabon","Shannon","Calories"
"59",2.20840465544826,2009,"Gambia","Shannon","Calories"
"60",1.87528972602704,2009,"Georgia","Shannon","Calories"
"61",2.71052946003535,2009,"Germany","Shannon","Calories"
"62",2.5332651026697,2009,"Ghana","Shannon","Calories"
"63",2.52566279980524,2009,"Greece","Shannon","Calories"
"64",2.75845586669631,2009,"Grenada","Shannon","Calories"
"65",2.1211952800435,2009,"Guatemala","Shannon","Calories"
"66",2.17845601879189,2009,"Guinea","Shannon","Calories"
"67",2.25418656682239,2009,"Guinea-Bissau","Shannon","Calories"
"68",2.12960327028374,2009,"Guyana","Shannon","Calories"
"69",2.61769197190719,2009,"Haiti","Shannon","Calories"
"70",2.12299218190896,2009,"Honduras","Shannon","Calories"
"71",2.33970029278119,2009,"Hungary","Shannon","Calories"
"72",2.46655642853919,2009,"Iceland","Shannon","Calories"
"73",2.34441145532348,2009,"India","Shannon","Calories"
"74",1.88540317376876,2009,"Indonesia","Shannon","Calories"
"75",2.14832075661381,2009,"Iran (Islamic Republic of)","Shannon","Calories"
"76",1.83796786790238,2009,"Iraq","Shannon","Calories"
"77",2.54419950249174,2009,"Ireland","Shannon","Calories"
"78",2.65752522875719,2009,"Israel","Shannon","Calories"
"79",2.39380996654424,2009,"Italy","Shannon","Calories"
"80",2.44080031954448,2009,"Ivory Coast","Shannon","Calories"
"81",2.53851502852587,2009,"Jamaica","Shannon","Calories"
"82",2.49315759463744,2009,"Japan","Shannon","Calories"
"83",2.05729450707558,2009,"Jordan","Shannon","Calories"
"84",2.18921996009843,2009,"Kazakhstan","Shannon","Calories"
"85",2.38612278010072,2009,"Kenya","Shannon","Calories"
"86",1.8896018332898,2009,"Kiribati","Shannon","Calories"
"87",2.34615847458238,2009,"Kuwait","Shannon","Calories"
"88",2.01737754501145,2009,"Kyrgyzstan","Shannon","Calories"
"89",1.49551680828891,2009,"Lao People's Democratic Republic","Shannon","Calories"
"90",2.64961088562552,2009,"Latvia","Shannon","Calories"
"91",2.52954589120253,2009,"Lebanon","Shannon","Calories"
"92",1.58743013527794,2009,"Lesotho","Shannon","Calories"
"93",1.83240811170374,2009,"Liberia","Shannon","Calories"
"94",2.11816965291545,2009,"Libya","Shannon","Calories"
"95",2.31561310934386,2009,"Lithuania","Shannon","Calories"
"96",2.62666367595617,2009,"Luxembourg","Shannon","Calories"
"97",1.7262777903647,2009,"Madagascar","Shannon","Calories"
"98",1.93539568302455,2009,"Malawi","Shannon","Calories"
"99",2.21853504358542,2009,"Malaysia","Shannon","Calories"
"100",2.22405573880125,2009,"Maldives","Shannon","Calories"
"101",2.33281707639176,2009,"Mali","Shannon","Calories"
"102",2.35347899512667,2009,"Malta","Shannon","Calories"
"103",2.10819592531093,2009,"Mauritania","Shannon","Calories"
"104",2.18902697116987,2009,"Mauritius","Shannon","Calories"
"105",2.19292562920691,2009,"Mexico","Shannon","Calories"
"106",1.62079030197243,2009,"Mongolia","Shannon","Calories"
"107",2.34003985229815,2009,"Montenegro","Shannon","Calories"
"108",2.05114821280636,2009,"Morocco","Shannon","Calories"
"109",2.3074223354437,2009,"Mozambique","Shannon","Calories"
"110",1.92328951394434,2009,"Myanmar","Shannon","Calories"
"111",2.45515845729287,2009,"Namibia","Shannon","Calories"
"112",2.23452328490652,2009,"Nepal","Shannon","Calories"
"113",2.62135646265933,2009,"Netherlands","Shannon","Calories"
"114",2.6095861178828,2009,"New Caledonia","Shannon","Calories"
"115",2.54981002328774,2009,"New Zealand","Shannon","Calories"
"116",2.14685612484508,2009,"Nicaragua","Shannon","Calories"
"117",1.96394790113948,2009,"Niger","Shannon","Calories"
"118",2.81681988729257,2009,"Nigeria","Shannon","Calories"
"119",2.48834514607952,2009,"Norway","Shannon","Calories"
"120",2.17563737269226,2009,"Occupied Palestinian Territory","Shannon","Calories"
"121",1.98712668700813,2009,"Pakistan","Shannon","Calories"
"122",2.35940528833711,2009,"Panama","Shannon","Calories"
"123",2.43910474384139,2009,"Paraguay","Shannon","Calories"
"124",2.67143617263371,2009,"Peru","Shannon","Calories"
"125",1.82891609389616,2009,"Philippines","Shannon","Calories"
